MSFT
AAPL
GOOG
AMZN
NVDA
META
BRK.B
TSLA
LLY
TSM
AVGO
V
JPM
NVO
UNH
WMT
MA
JNJ
XOM
HD
PG
COST
ORCL
MRK
ASML
ABBV
AMD
ADBE
CRM
CVX
KO
BAC
ACN
PEP
MCD
NFLX
CSCO
AZN
INTC
ABT
SHEL
LIN
TMUS
PDD
CMCSA
INTU
BABA
WFC
DHR
DIS
QCOM
VZ
AMGN
PFE
TXN
IBM
NKE
NOW
UNP
HSBC
CAT
PM
GE
MS
SPGI
AMAT
UBER
UPS
AXP
HON
ISRG
BA
COP
LOW
BKNG
BUD
GS
RTX
SONY
BLK
T
NEE
SCHW
MDT
LMT
VRTX
ELV
LRCX
TJX
GILD
DE
SBUX
PANW
SHOP
PBR
BMY
REGN
MDLZ
C
ADP
ADI
MU
BP
CVS
ABNB
CI
MELI
BX
FI
KLAC
GSK
ANET
ARM
WDAY
SO
KKR
WM
CME
MO
PYPL
NOC
SLB
CRWD
MAR
CSX
GD
CL
USB
MCK
EOG
CMG
TGT
SNOW
RACE
TEAM
FDX
MRVL
LULU
PNC
MMM
VALE
NTES
DELL
EPD
MPC
PSX
NXPI
APO
FCX
CHTR
EMR
ADSK
NSC
DHI
MET
PXD
TFC
OXY
HUM
AFL
COF
GM
AIG
FTNT
STZ
ET
ROST
KHC
EL
F
VLO
NU
PCG
DDOG
LEN
DLR
DASH
HES
KMB
WMB
NUE
SU
SQ
SPOT
NEM
KVUE
CNC
HSY
URI
LNG
KMI
MRNA
EA
DOW
LVS
PLTR
ADM
BIIB
BIDU
GIS
JD
ZS
GEHC
PPG
KR
TTD
RCL
ON
DD
HAL
COIN
DG
MDB
HPQ
DLTR
LI
TTWO
GOLD
NET
FANG
SNAP
CPNG
DVN
DB
CAH
GLW
NTR
PINS
TSCO
WBD
DFS
RKT
RBLX
DAL
SMCI
FITB
ULTA
PHM
CCL
MT
ILMN
EBAY
ZM
WPM
SIRI
SE
EXPE
VRT
ALGN
CCJ
TECK
UWMC
BAX
CBOE
NOK
WBA
TSN
CTRA
NTAP
LUV
STX
WDC
CLX
DKNG
IOT
BEKE
SWKS
HRL
LII
FSLR
BBY
GDDY
DPZ
RIVN
MGM
EQT
CF
ENPH
VFS
XP
CAG
ALB
OKTA
TWLO
KEY
MRO
DOCU
CPB
NIO
UAL
AFRM
IP
Z
U
PATH
BURL
TEVA
ROKU
DXCM
CELH
EDU
DKS
ZI
PAA
KMX
DBX
SRPT
COTY
ALLY
X
GTLB
WYNN
TOL
MOS
CZR
MTCH
NLY
BBWI
YPF
TOST
HOOD
APA
XPEV
CLF
PARA
AAL
ONON
ELF
ETSY
TPR
CHWY
MSTR
CVNA
CYTK
FHN
BILL
APLS
NCLH
S
CART
IEP
SOFI
GNRC
RRC
WAL
TAL
SWN
GPS
CMA
KGC
W
AR
AGNC
FUTU
COHR
BBIO
LCID
WHR
ZION
CROX
VFC
CAR
IMVT
SNV
OZK
STNE
CAVA
TMO
ATVI
SYY
ABC
VOD
HZNP
TROW
HUBS
SEDG
SPLK
DT
EXAS
FIVE
JNPR
BILI
WSM
PSNY
AAP
OLN
NOV
AA
IQ
MLCO
GME
RH
HOG
PLUG
ASO
BROS
MPW
M
